charity_number,name,original_url
CC25717,"I M Shaw Trust",API_ERROR
CC47840,"Ian Joseph Bate Trust",API_ERROR
CC49667,"Immanuel Community Church",API_ERROR
CC38569,"Iris and Eric Wilfred Nankivell Charitable Trust",API_ERROR
CC22786,"Jack Harold Lines Memorial Trust",API_ERROR
CC60352,"Jack and Alecia Ede Charitable Trust",API_ERROR
CC51062,"James & Jean Hartstonge Charitable Trust",API_ERROR
CC51097,"Jans Trust",API_ERROR
CC58548,"Jean Marjorie Gott Charitable Trust",API_ERROR
CC20667,"Joan Moya Campbell Charitable Trust",API_ERROR
CC27320,"John Beresford Swan Dudding Trust",API_ERROR
CC10203,"John Campbell Benevolent Fund",API_ERROR
CC46661,"Joyce And Laurence Olliver Charitable Trust",API_ERROR
CC50321,"Kathleen Whyte Charitable Trust",API_ERROR
CC61835,"Kenneth Ronald Boyce Foundation",API_ERROR
CC60877,"LYTTELTON EDUCATION CHARITABLE TRUST",API_ERROR
CC10722,"Latvian Church Charitable Trust",API_ERROR
CC39228,"Laurie And Elsie Mackie Memorial Trust Board",API_ERROR
CC10790,"Lawrence Seymour Durey Trust",API_ERROR
CC47106,"Le Heron Charitable Trust",API_ERROR
CC22322,"Leonora Knapp Trust",API_ERROR
CC58116,"Light of All Nations Ministry New Plymouth",API_ERROR
CC63212,"Light of All Nations Ministry Palmerston North",API_ERROR
CC30579,"Lions Club of Balfour Charitable Trust ",API_ERROR
CC49233,"M J Smeaton Charitable Trust",API_ERROR
CC21874,"Madeleine Joyce Adams Charitable Trust",API_ERROR
CC50463,"Mae and Betty Sherratt Charitable Trust",API_ERROR
CC51672,"Marg-Rose Linder Charitable Trust",API_ERROR
CC36160,"Margaret and Huia Clarke Trust Fund",API_ERROR
CC20408,"Martha Helen Baldwin Trust",API_ERROR
CC50408,"Maurice Hughes Downer Trust",API_ERROR
CC22162,"Millennium 21 Trust Board",API_ERROR
CC46110,"Mount Roskill Islamic Trust",API_ERROR
CC50694,"Mountain Biking North Otago Incorporated",API_ERROR
CC61989,"NZ SPORTS AND COMMUNITY DEVELOPMENT TRUST",API_ERROR
CC47105,"Nancy and Maurice Vance Trust",API_ERROR
CC38370,"Nathan Chester Clark Charitable Trust",API_ERROR
CC51839,"Neil James Phillips Charitable Trust",API_ERROR
CC26386,"Nellie Mason Benevolent Trust for Animals",API_ERROR
CC46563,"New Brighton Menz Shed Trust",API_ERROR
CC27632,"New Zealand Communities Growth Trust",API_ERROR
CC35725,"Ngarimu VC And 28th (Maori) Battalion Memorial Scholarship Fund",API_ERROR
CC26964,"Norman Kirk Memorial Trust",API_ERROR
CC38178,"Nova Charitable Trust",API_ERROR
CC47873,"Oroua Parish Trust",API_ERROR
CC51379,"Otaki Apostolic Church Trust",API_ERROR
CC20327,"Pacific Development And Conservation Trust",API_ERROR
CC37438,"Paekakariki Services Club Charitable Trust",API_ERROR
CC42742,"Paeroa Little Theatre Incorporated",API_ERROR
CC49293,"Paikea Whitireia Trust Maori Reservation ",API_ERROR
