charity_number,name,grant_page_url,similarity
CC25988,"The Oswald McKenzie Charitable Trust",https://www.perpetualguardian.co.nz/philanthropy/charitable-trusts/,0.61
CC50393,"The Owen & John Whitfield Charitable Trust No 1",https://www.perpetualguardian.co.nz/philanthropy/charitable-trusts/,0.52
CC39086,"The Owen & John Whitfield Charitable Trust No 2",https://www.perpetualguardian.co.nz/philanthropy/charitable-trusts/,0.52
CC43972,"The Oyster Boat Charitable Trust",https://www.perpetualguardian.co.nz/philanthropy/charitable-trusts/,0.67
CC22021,"The Pukerua Bay Charitable Trust",https://www.perpetualguardian.co.nz/philanthropy/charitable-trusts/,0.67
CC22296,"The Reed Charitable Trust",https://www.perpetualguardian.co.nz/philanthropy/charitable-trusts/,0.77
CC24177,"The Thomas Cavell Connelly Nichol Charitable Trust",https://www.perpetualguardian.co.nz/philanthropy/charitable-trusts/,0.55
CC20786,"The Wellington Sisters Charitable Trust",https://www.perpetualguardian.co.nz/philanthropy/charitable-trusts/,0.58
CC21746,"Zelda Roberts Charitable Trust",https://www.perpetualguardian.co.nz/philanthropy/charitable-trusts/,0.71
CC38009,"Edward Moritz Theomin Charitable Trust",https://www.perpetualguardian.co.nz/philanthropy/charitable-trusts/,0.61
