charity_number,name,grant_page_url
CC38370,"Nathan Chester Clark Charitable Trust",
CC51839,"Neil James Phillips Charitable Trust",
CC26386,"Nellie Mason Benevolent Trust for Animals",
CC27632,"New Zealand Communities Growth Trust",https://www.publictrust.co.nz/grants/new-zealand-communities-growth-trust-n-z-c-g-t/
CC38178,"Nova Charitable Trust",https://www.publictrust.co.nz/grants/nova-charitable-trust/
CC37438,"Paekakariki Services Club Charitable Trust",
CC51020,"Papatoetoe High School Scholarship Fund",
CC23475,"Patrick Ernest Gye Trust",
CC24146,"Paul Ambrose Radomski Trust",
CC46832,"Pauline Gapper Charitable Trust",
CC10776,"Ralph Dingle Trust",
CC50768,"Raymond Archer Charitable Trust",
CC46137,"Reginald and Alma Langley Trust",
CC44797,"Roger Silson Charitable Trust",
CC51587,"Roy and Marie Sainsbury Charitable Trust",
CC25082,"Salem Wakem Trust",
CC49892,"Shirley Estelle Owen Charitable Trust",https://www.publictrust.co.nz/grants/roy-owen-dixey-charitable-trust/
CC46175,"Terry Cummings Charitable Trust",
CC34455,"The A J Scott Fund",https://www.publictrust.co.nz/grants/a-j-scott-fund/
CC23128,"The Achison Memorial Trust",https://www.publictrust.co.nz/grants/david-ellison-charitable-trust/
CC22573,"The Aileen Gilligan Trust",
CC51072,"The Allan Silas Jenkins Charitable Trust",
CC27115,"The Arthur Edwin and Agnes May Thomas Perpetual Trust",
CC31196,"The Arthur Hopwood Charitable Trust Fund",https://www.publictrust.co.nz/grants/the-arthur-hopwood-charitable-trust-grants/
CC28173,"The Arthur White Trust",
CC36498,"The Audrey Simpson Trust Fund",
CC26830,"The Barrington Miller Educational Trust Fund No.1",https://www.publictrust.co.nz/grants/the-barrington-miller-educational-trust-fund-no-1/
CC53113,"The Beatrice Ratcliffe Charitable Trust",
CC47058,"The Carson Charitable Trust No 1",
CC47057,"The Carson Charitable Trust No 2",
CC47056,"The Carson Charitable Trust No 3",
CC43947,"The Charles and Vera Thrush Charitable Trust",
CC27259,"The Doris M Partridge Trust",
CC45325,"The Douglas and Audrey Symons Charitable Trust",
CC24209,"The Dowdall Trust",
CC35793,"The E L Herbert Memorial Fund",
CC22208,"The Elma Sims Trust",
CC50238,"The Ernest and Josephine Earnshaw Charitable Trust",
CC22587,"The Esther Watson Charitable Trust",
CC45873,"The Florence & George Chamberlain Charitable Trust",
CC20312,"The Fred Crook Trust Fund",
CC23188,"The Frederick and Audrey Adams Trust",
CC43978,"The Frizelle Charitable Trust",https://www.publictrust.co.nz/grants/frozen-funds-charitable-trust/
CC47745,"The Garry and Norah Madden Trust",
CC21776,"The George and Noela Waddel Charitable Trust",
CC24606,"The Glyn Evans Charitable Trust",
CC41333,"The Goodwill Charitable Trust",
CC27064,"The Hans Trommel Trust",
